Word Frequencies,Absolute Frequency,Relative Frequency
handmade,2221,0.014207580361426515
resin,1964,0.012563569486646409
made,1425,0.009115624500239885
materials,1359,0.008693427154965617
silver,1342,0.008584679353910123
item,1241,0.007938589477051016
length,1152,0.007369262753878138
cm,1130,0.007228530305453383
pendant,1122,0.007177354869662562
necklace,1064,0.006806332960179114
ring,1033,0.006608028146489685
der,972,0.00621781544858468
chain,921,0.005891572045418199
centimeters,911,0.005827602750679674
2,881,0.005635694866464098
jewelry,868,0.005552534783304014
1,866,0.005539740924356309
description,853,0.0054565808411962255
5,840,0.005373420758036143
earrings,820,0.005245482168559091
please,777,0.004970414201183432
small,766,0.004900047976971054
gift,754,0.004823284823284823
3,733,0.00468894930433392
wood,727,0.004650567727490804
die,684,0.004375499760115145
style,667,0.004266751959059651
epoxy,629,0.004023668639053254
personalized,627,0.004010874780105549
unique,626,0.004004477850631696
gold,625,0.003998080921157845
mm,562,0.0035950743643051336
order,546,0.0034927234927234927
x,527,0.003371181832720294
real,526,0.0033647849032464416
also,511,0.0032688309611386534
width,510,0.003262434031664801
approx,503,0.003217655525347833
size,474,0.003032144570606109
4,470,0.003006556852710699
time,465,0.002974572205341436
color,460,0.0029425875579721732
glass,454,0.002904205981129058
flowers,444,0.0028402366863905324
white,442,0.0028274428274428273
adjustable,433,0.0027698704621781545
8,408,0.002609947225331841
full,396,0.00253318407164561
6,395,0.0025267871421717574
stainless,389,0.0024884055653286424
piece,385,0.002462817847433232
stone,362,0.002315688469534623
steel,361,0.0023092915400607706
bracelet,360,0.0023028946105869185
beautiful,357,0.0022837038221653607
black,355,0.0022709099632176556
blue,343,0.002194146809531425
closure,334,0.002136574444266752
hand,334,0.002136574444266752
7,329,0.002104589796897489
yes,324,0.0020726051495282265
des,323,0.002066208220054374
us,317,0.0020278266432112585
und,313,0.002002238925315848
metal,312,0.001995841995841996
height,306,0.0019574604189988806
free,306,0.0019574604189988806
millimeters,305,0.001951063489525028
leather,299,0.0019126819126819127
vintage,283,0.001810331041100272
different,279,0.0017847433232048616
long,276,0.001765552534783304
shop,276,0.001765552534783304
10,274,0.001752758675835599
according,272,0.0017399648168878938
contact,272,0.0017399648168878938
colors,268,0.0017143770989924837
brass,266,0.0017015832400447785
may,263,0.0016823924516232208
nach,256,0.001637613945306253
product,254,0.0016248200863585478
days,250,0.0015992323684631377
trailer,249,0.0015928354389892852
design,249,0.0015928354389892852
use,248,0.0015864385095154326
wooden,247,0.00158004158004158
keychain,244,0.0015608507916200225
light,242,0.0015480569326723173
verbraucher,242,0.0015480569326723173
diameter,239,0.0015288661442507596
note,239,0.0015288661442507596
flower,238,0.001522469214776907
message,238,0.001522469214776907
sterling,237,0.0015160722853030544
decoration,234,0.001496881496881497
perfect,234,0.001496881496881497
one,232,0.0014840876379337918
925,231,0.0014776907084599392
den,230,0.0014712937789860866
items,229,0.001464896849512234
earlobe,227,0.001452102990564529
sticker,226,0.0014457060610906765
synthetic,224,0.0014329122021429714
green,223,0.0014265152726691188
make,223,0.0014265152726691188
nickel,223,0.0014265152726691188
beads,220,0.0014073244842475613
love,220,0.0014073244842475613
box,219,0.0014009275547737087
special,218,0.0013945306252998561
location,218,0.0013945306252998561
instagram,213,0.0013625459779305932
boho,211,0.0013497521189828883
every,210,0.0013433551895090357
slightly,209,0.0013369582600351831
set,209,0.0013369582600351831
art,208,0.0013305613305613305
delivery,208,0.0013305613305613305
germany,208,0.0013305613305613305
used,207,0.001324164401087478
like,207,0.001324164401087478
14,206,0.0013177674716136254
auf,206,0.0013177674716136254
shipping,205,0.0013113705421397728
zu,203,0.0012985766831920679
day,201,0.0012857828242443627
red,198,0.001266592035822805
letter,192,0.0012282104589796897
9,189,0.001209019670558132
natural,187,0.001196225811610427
send,187,0.001196225811610427
19,187,0.001196225811610427
coasters,187,0.001196225811610427
cube,186,0.0011898288821365745
material,184,0.0011770350231888693
für,183,0.0011706380937150168
hippie,183,0.0011706380937150168
minimalist,182,0.0011642411642411642
